,TIME_PERIOD,Sector,OBS_VALUE
533,2005,Basic education,23.99191
534,2005,Basic health,99.792748
535,2005,Basic health care,44.386111
536,2005,Basic health infrastructure,1.100378
537,2005,Basic life skills for adults,1.559751
538,2005,Basic nutrition,4.451566
539,2005,Biodiversity,1.059598
540,2005,Biofuel-fired power plants,0.129545
541,2005,Biosphere protection,1.49337
542,2005,Business and other services,23.12423
543,2005,Business policy and administration,20.529927
544,2005,"Civilian peace-building, conflict prevention and resolution",17.418321
545,2005,Commodity aid / General programme assistance,234.571739
546,2005,Communications,10.338377
547,2005,Communications policy and administrative management,2.388044
548,2005,"Conflict, peace and security",21.065417
549,2005,Construction,0.049177
550,2005,Construction policy and administrative management,0.049177
551,2005,Cottage industries and handicraft,0.021583
552,2005,Culture and recreation,4.062815
553,2005,Debt forgiveness,224.808514
554,2005,Decentralisation and support to subnational government,3.6801
555,2005,Democratic participation and civil society,16.962745
556,2005,Development food assistance,160.764642
557,2005,Disaster prevention and preparedness,4.697147
558,2005,Disaster risk reduction,0.354201
559,2005,Economic infrastructure and services,316.507674
560,2005,Education,95.209174
561,2005,Education and training in water supply and sanitation,0.175588
562,2005,Education facilities and training,4.938197
563,2005,Education policy and administrative management,11.524149
564,2005,"Education, level unspecified",35.195465
565,2005,Educational research,1.134442
566,2005,Elections,5.486038
567,2005,Electric power transmission and distribution (centralised grids),7.127823
568,2005,Emergency food assistance,747.836305
569,2005,Emergency response,823.61019
570,2005,Employment creation,2.199827
571,2005,Energy,119.086479
572,2005,Energy distribution,7.127823
573,2005,Energy education/training,0.025752
574,2005,"Energy generation, non-renewable sources",6.029609
575,2005,"Energy generation, non-renewable sources, unspecified",6.029609
576,2005,"Energy generation, renewable sources",95.487871
577,2005,"Energy generation, renewable sources - multiple technologies",1.477995
578,2005,Energy policy,10.441176
579,2005,Energy policy and administrative management,10.415424
580,2005,Engineering,0.135326
581,2005,Environmental education/training,0.801363
582,2005,Environmental policy and administrative management,3.916217
583,2005,Environmental research,0.102525
584,2005,Family planning,0.711692
585,2005,Financial policy and administrative management,0.344827
586,2005,Food assistance,160.764642
587,2005,Food crop production,0.085232
588,2005,Forest industries,0.029758
589,2005,Forestry,3.358956
590,2005,Forestry development,0.630741
591,2005,Forestry policy and administrative management,2.728215
592,2005,Formal sector financial intermediaries,3.580887
593,2005,General budget support,73.50675
594,2005,General budget support-related aid,73.50675
595,2005,General environment protection,7.373073
596,2005,Geothermal energy,0.07796
597,2005,Government and civil society,119.66448
598,2005,"Government and civil society, general",98.599063
599,2005,Health,122.949515
600,2005,Health education,4.100423
601,2005,Health personnel development,0.420752
602,2005,Health policy and administrative management,17.60984
603,2005,"Health, general",23.156767
604,2005,Higher education,25.728162
605,2005,Housing policy and administrative management,0.031766
606,2005,Human rights,4.453118
607,2005,Humanitarian aid,829.027455
608,2005,Hydro-electric power plants,93.680573
609,2005,Immediate post-emergency reconstruction and rehabilitation,0.720118
610,2005,Import support (commodities),0.300347
611,2005,Industrial crops/export crops,2.84619
612,2005,Industrial development,3.46797
613,2005,Industrial policy and administrative management,0.214319
614,2005,Industry,6.504418
615,2005,"Industry, mining, construction",6.553595
616,2005,Infectious disease control,13.486835
617,2005,Informal/semi-formal financial intermediaries,4.902795
618,2005,Information and communication technology (ICT),1.997171
619,2005,Legal and judicial development,2.098866
620,2005,Livestock,5.604902
621,2005,Livestock/veterinary services,0.698515
622,2005,Low-cost housing,0.815127
623,2005,Malaria control,26.337602
624,2005,Material relief assistance and services,74.688675
625,2005,Media and free flow of information,3.705786
626,2005,Medical education/training,1.910223
627,2005,Medical research,0.851944
628,2005,Medical services,2.78476
629,2005,Multi-hazard response preparedness,4.697147
630,2005,Multi-sector / Cross-cutting,40.747271
631,2005,Multisector aid,4.773907
632,2005,Multisector aid for basic social services,15.021573
633,2005,Multisector education/training,0.39472
634,2005,Other commodity assistance,0.300347
635,2005,Other multisector,33.374198
636,2005,Other social infrastructure and services,116.5534
637,2005,Participation in international peacekeeping operations,0.984926
638,2005,Population policies/Programmes & reproductive health,168.645439
639,2005,Population policy and administrative management,4.295339
640,2005,Post-secondary education,26.220312
641,2005,Primary education,22.432159
642,2005,Privatisation,2.594303
643,2005,Production sectors,86.713131
644,2005,Promotion of development awareness (non-sector allocable),0.05514
645,2005,Public finance management (PFM),7.054861
646,2005,Public sector policy and administrative management,50.332118
647,2005,Radio/television/print media,0.179495
648,2005,Reconstruction relief and rehabilitation,0.720118
649,2005,Refugees in donor countries,5.626851
650,2005,Refugees/asylum seekers  in donor countries (non-sector allocable),5.626851
651,2005,Reintegration and SALW control,0.002836
652,2005,Relief co-ordination and support services,1.08521
653,2005,Removal of land mines and explosive remnants of war,2.659334
654,2005,Reproductive health care,11.226429
655,2005,Research/scientific institutions,1.095728
656,2005,River basins development,1.599297
657,2005,Road transport,152.127935
658,2005,Rural development,26.369479
659,2005,STD control including HIV/AIDS,152.411979
660,2005,Secondary education,9.801487
661,2005,Sector allocable,1098.89582
662,2005,Sectors not specified,34.435374
663,2005,Small and medium-sized enterprises (SME) development,2.546628
664,2005,Social infrastructure and services,654.927744
665,2005,Social mitigation of HIV/AIDS,0.321614
666,2005,Social protection,89.33802
667,2005,Statistical capacity building,4.762658
668,2005,Teacher training,17.598677
669,2005,Technological research and development,0.068964
670,2005,Telecommunications,5.773667
671,2005,Tourism,0.200281
